id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
WG639VkTjmK5dzydd1BBJA,rubirosa-new-york-2,Rubirosa,https://s3-media4.fl.yelpcdn.com/bphoto/LuSzR8cpVQRofXOT_bMi1A/o.jpg,False,https://www.yelp.com/biz/rubirosa-new-york-2?adjust_creative=WAxio19XFGhmTEs-1xPo1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WAxio19XFGhmTEs-1xPo1A,2258,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'pizza', 'title': 'Pizza'}]",4.5,"{'latitude': 40.722766, 'longitude': -73.996233}","['delivery', 'pickup']",$$,"{'address1': '235 Mulberry St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10012', 'country': 'US', 'state': 'NY', 'display_address': ['235 Mulberry St', 'New York, NY 10012']}",+12129650500,(212) 965-0500,1932.9467701334759
qBGKigOGn_flCx1apxPzlA,piccola-cucina-osteria-new-york,Piccola Cucina Osteria,https://s3-media1.fl.yelpcdn.com/bphoto/U9CN5QUnEAp1tHKHM8ZrXg/o.jpg,False,https://www.yelp.com/biz/piccola-cucina-osteria-new-york?adjust_creative=WAxio19XFGhmTEs-1xPo1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WAxio19XFGhmTEs-1xPo1A,563,"[{'alias': 'italian', 'title': 'Italian'}]",4.5,"{'latitude': 40.72506, 'longitude': -74.00322}","['delivery', 'pickup']",$$,"{'address1': '196 Spring St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10012', 'country': 'US', 'state': 'NY', 'display_address': ['196 Spring St', 'New York, NY 10012']}",+16464787488,(646) 478-7488,2304.888766830417
DoSU8IPq-Py_YV3kYmXPfQ,trattoria-trecolori-new-york,Trattoria Trecolori,https://s3-media4.fl.yelpcdn.com/bphoto/G8vBgHxbEfoONO0JpLX3Qw/o.jpg,False,https://www.yelp.com/biz/trattoria-trecolori-new-york?adjust_creative=WAxio19XFGhmTEs-1xPo1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WAxio19XFGhmTEs-1xPo1A,2345,"[{'alias': 'italian', 'title': 'Italian'}]",4.0,"{'latitude': 40.75998, 'longitude': -73.98671}","['delivery', 'pickup']",$$,"{'address1': '254 West 47th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10036', 'country': 'US', 'state': 'NY', 'display_address': ['254 West 47th St', 'New York, NY 10036']}",+12129974540,(212) 997-4540,6083.735166572698
4zw8vEJNc4mcHh2ARzj2gw,osteria-brooklyn-brooklyn,Osteria Brooklyn,https://s3-media1.fl.yelpcdn.com/bphoto/QzJCcB5xHxvom5Ykn16EVA/o.jpg,False,https://www.yelp.com/biz/osteria-brooklyn-brooklyn?adjust_creative=WAxio19XFGhmTEs-1xPo1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WAxio19XFGhmTEs-1xPo1A,26,"[{'alias': 'italian', 'title': 'Italian'}]",4.5,"{'latitude': 40.693154, 'longitude': -73.967177}",[],,"{'address1': '458 Myrtle Ave', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11205', 'country': 'US', 'state': 'NY', 'display_address': ['458 Myrtle Ave', 'Brooklyn, NY 11205']}",+16467509156,(646) 750-9156,2663.32927828955
dh5r9-SbN8xJ76XvnayWLQ,giano-restaurant-new-york,Giano Restaurant,https://s3-media1.fl.yelpcdn.com/bphoto/0PrOZ5stl86k6V1SzHcjNA/o.jpg,False,https://www.yelp.com/biz/giano-restaurant-new-york?adjust_creative=WAxio19XFGhmTEs-1xPo1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WAxio19XFGhmTEs-1xPo1A,600,"[{'alias': 'italian', 'title': 'Italian'}]",4.5,"{'latitude': 40.7262256596862, 'longitude': -73.9840574049125}","['delivery', 'pickup']",$$,"{'address1': '126 E 7th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10009', 'country': 'US', 'state': 'NY', 'display_address': ['126 E 7th St', 'New York, NY 10009']}",+12126737200,(212) 673-7200,2466.5008597028605
Vs8kQ4R381y27AH018gLpg,supper-new-york,Supper,https://s3-media4.fl.yelpcdn.com/bphoto/jEEH9kmoHFmyQRgXiMjFuw/o.jpg,False,https://www.yelp.com/biz/supper-new-york?adjust_creative=WAxio19XFGhmTEs-1xPo1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WAxio19XFGhmTEs-1xPo1A,1299,"[{'alias': 'italian', 'title': 'Italian'}]",4.0,"{'latitude': 40.7229, 'longitude': -73.98527}","['delivery', 'pickup']",$$,"{'address1': '156 E 2nd St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10009', 'country': 'US', 'state': 'NY', 'display_address': ['156 E 2nd St', 'New York, NY 10009']}",+12124777600,(212) 477-7600,2088.7434147525933
22nKUyCIbpnzR6R3_g1ptQ,carmines-italian-restaurant-times-square-new-york-5,Carmine's Italian Restaurant - Times Square,https://s3-media1.fl.yelpcdn.com/bphoto/0UszeEYPWI-RIk0Ak6HtVQ/o.jpg,False,https://www.yelp.com/biz/carmines-italian-restaurant-times-square-new-york-5?adjust_creative=WAxio19XFGhmTEs-1xPo1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WAxio19XFGhmTEs-1xPo1A,3781,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'catering', 'title': 'Caterers'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]",4.0,"{'latitude': 40.7574955824307, 'longitude': -73.9866844540098}","['delivery', 'pickup']",$$,"{'address1': '200 W 44th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10036', 'country': 'US', 'state': 'NY', 'display_address': ['200 W 44th St', 'New York, NY 10036']}",+12122213800,(212) 221-3800,5823.169973434953
rp8S7scxOkVVeG7dNneMGQ,l-artusi-new-york,L'Artusi,https://s3-media3.fl.yelpcdn.com/bphoto/HeDloBW-SnokWblGDuPrUQ/o.jpg,False,https://www.yelp.com/biz/l-artusi-new-york?adjust_creative=WAxio19XFGhmTEs-1xPo1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WAxio19XFGhmTEs-1xPo1A,1847,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,"{'latitude': 40.73372, 'longitude': -74.00513}","['delivery', 'pickup']",$$$,"{'address1': '228 W 10th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10014', 'country': 'US', 'state': 'NY', 'display_address': ['228 W 10th St', 'New York, NY 10014']}",+12122555757,(212) 255-5757,3272.999060891836
qgY41g_eg0eNzewCXmKcaA,lillo-cucina-italiana-brooklyn,Lillo Cucina Italiana,https://s3-media3.fl.yelpcdn.com/bphoto/b2MP6R0g_sfFpnLRnQSduA/o.jpg,False,https://www.yelp.com/biz/lillo-cucina-italiana-brooklyn?adjust_creative=WAxio19XFGhmTEs-1xPo1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WAxio19XFGhmTEs-1xPo1A,140,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'italian', 'title': 'Italian'}]",5.0,"{'latitude': 40.69023, 'longitude': -73.99634}",[],$$,"{'address1': '331 Henry St', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11201', 'country': 'US', 'state': 'NY', 'display_address': ['331 Henry St', 'Brooklyn, NY 11201']}",+13477630899,(347) 763-0899,1699.2204952670313
5TX0X8w5ssIACU_pnBEq6g,tonys-di-napoli-new-york-4,Tony's Di Napoli,https://s3-media1.fl.yelpcdn.com/bphoto/4wyiOvfKrh4Ff9uWwatg9A/o.jpg,False,https://www.yelp.com/biz/tonys-di-napoli-new-york-4?adjust_creative=WAxio19XFGhmTEs-1xPo1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WAxio19XFGhmTEs-1xPo1A,2095,"[{'alias': 'italian', 'title': 'Italian'}]",4.0,"{'latitude': 40.75641, 'longitude': -73.98547}","['delivery', 'pickup']",$$,"{'address1': '147 W 43rd St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10036', 'country': 'US', 'state': 'NY', 'display_address': ['147 W 43rd St', 'New York, NY 10036']}",+12122210100,(212) 221-0100,5724.255233853066
z5-TEI72RVwwtWG4CEggLw,lunella-ristorante-italiano-new-york,Lunella Ristorante Italiano,https://s3-media3.fl.yelpcdn.com/bphoto/rEWPGvfFXCLStSJFlY4n6g/o.jpg,False,https://www.yelp.com/biz/lunella-ristorante-italiano-new-york?adjust_creative=WAxio19XFGhmTEs-1xPo1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WAxio19XFGhmTEs-1xPo1A,237,"[{'alias': 'italian', 'title': 'Italian'}]",3.5,"{'latitude': 40.720108, 'longitude': -73.997215}","['delivery', 'pickup']",$$,"{'address1': '173 Mulberry St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10013', 'country': 'US', 'state': 'NY', 'display_address': ['173 Mulberry St', 'New York, NY 10013']}",+12129666639,(212) 966-6639,1649.123383854811
uDJw4dQiySoNCBoUalW1Ww,lincoln-ristorante-new-york,Lincoln Ristorante,https://s3-media1.fl.yelpcdn.com/bphoto/YQ27-FJryY1ot9iJ0IWDJA/o.jpg,False,https://www.yelp.com/biz/lincoln-ristorante-new-york?adjust_creative=WAxio19XFGhmTEs-1xPo1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WAxio19XFGhmTEs-1xPo1A,568,"[{'alias': 'italian', 'title': 'Italian'}]",4.0,"{'latitude': 40.773359006218, 'longitude': -73.9835011005249}","['delivery', 'pickup']",$$$,"{'address1': '142 W 65th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10023', 'country': 'US', 'state': 'NY', 'display_address': ['142 W 65th St', 'New York, NY 10023']}",+12123596500,(212) 359-6500,7606.24021678437
GXq2Qsm--A7QQt9rTXldig,deninos-pizzeria-and-tavern-staten-island-staten-island,Deninos Pizzeria & Tavern - Staten Island,https://s3-media1.fl.yelpcdn.com/bphoto/F62xvRp4vBIK8pzV3UhtTQ/o.jpg,False,https://www.yelp.com/biz/deninos-pizzeria-and-tavern-staten-island-staten-island?adjust_creative=WAxio19XFGhmTEs-1xPo1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WAxio19XFGhmTEs-1xPo1A,733,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]",4.0,"{'latitude': 40.6302266718896, 'longitude': -74.1402754933448}","['delivery', 'pickup']",$$,"{'address1': '524 Port Richmond Ave', 'address2': '', 'address3': '', 'city': 'Staten Island', 'zip_code': '10302', 'country': 'US', 'state': 'NY', 'display_address': ['524 Port Richmond Ave', 'Staten Island, NY 10302']}",+17184429401,(718) 442-9401,14884.48244182446
0Gx08zPfwP8tI2Hg4r6AGg,delucas-italian-restaurant-staten-island,Deluca's Italian Restaurant,https://s3-media2.fl.yelpcdn.com/bphoto/3pt07_t48k__Q0e5_iXoyQ/o.jpg,False,https://www.yelp.com/biz/delucas-italian-restaurant-staten-island?adjust_creative=WAxio19XFGhmTEs-1xPo1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WAxio19XFGhmTEs-1xPo1A,166,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,"{'latitude': 40.5111020473786, 'longitude': -74.2413425571133}",[],$$$,"{'address1': '7324 Amboy Rd', 'address2': '', 'address3': None, 'city': 'Staten Island', 'zip_code': '10307', 'country': 'US', 'state': 'NY', 'display_address': ['7324 Amboy Rd', 'Staten Island, NY 10307']}",+17182277200,(718) 227-7200,30031.985255235224
YuzOnNDfRKixNJiaVy5Baw,robertas-pizza-new-york-2,Roberta's Pizza,https://s3-media3.fl.yelpcdn.com/bphoto/DfRh3ueUr2FONIMGoitPMQ/o.jpg,False,https://www.yelp.com/biz/robertas-pizza-new-york-2?adjust_creative=WAxio19XFGhmTEs-1xPo1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WAxio19XFGhmTEs-1xPo1A,215,"[{'alias': 'pizza', 'title': 'Pizza'}]",4.0,"{'latitude': 40.7545170712701, 'longitude': -73.9765970005763}",['pickup'],$$,"{'address1': '230 Park Ave', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10169', 'country': 'US', 'state': 'NY', 'display_address': ['230 Park Ave', 'New York, NY 10169']}",+16467470820,(646) 747-0820,5656.648409458703
